English,Japanese,Romanji
part,部,bu
history,歴史,rekishi
search,検索,kensaku
only,それだけ,soredake
police,警察,keisatsu
thought,考え,kangae
help,ヘルプ,herupu
request,リクエスト,rikuesuto
kind,親切,shinsetsu
month,月,tsuki
brother,兄弟,kyōdai
let,させて,sasete
because,なぜなら,nazenara
to put,置く,oku
no,いいえ,īe
leash,リーシュ,rīshu
them,彼ら,karera
city,街,machi
each,各,kaku
speak,話す,hanasu
come,来て,kite
should,したほうがいい,shita hō ga ī
baby,赤ちゃん,akachan
long time,長い時間,nagai jikan
hours,時間,jikan
will,意思,ishi
while,その間,sonokan
meet again,もう一度会いましょう,mōichido aimashō
any,どれでも,dore demo
square,四角,shikaku
speak,話す,hanasu
understood,了解した,ryōkai shita
knew,知っていた,shitteita
were,そうだった,sōdatta
Warning,警告,keikoku
here is,ここは,koko wa
could,できる,dekiru
case,場合,bāi
give,与える,ataeru
type,タイプ,taipu
their,彼らの,karera no
given,与えられた,ataerareta
train,訓練,kunren
body,体,karada
place,場所,basho
eyes,目,me
way,道,michi
listen,聞く,kiku
whose,だれの,dare no
find,探す,sagasu
first,初め,hajime
lost,失った,ushinatta
hand,手,te
old,年,toshi
be,なれ,nare
here,ここ,koko
morning,朝,asa
so much,そんなに,sonnani
child,子供,kodomo
point,点,ten
hello,こんにちは,konnichiwa
thank you ,ありがとうございます,arigato gozaimasu
excuse me,すみません,sumimasen
tommorow,明日,ashita
stop please!,止めてください,tomete kudasai
bullet train,新幹線,shinkansen
at what time?,何時に？,nanji ni?
what time is it?,今何時ですか?,ima nanji desu ka?